seconds_from_attack_start,attack_payload,attack_delivery,syscall,key,comm,command,proctitle,cwd,manual_label,manual_note,timestamp,event_id,anchor_phase,attack_run_id,attack_chain_id,attack_category,success,exit,exe,path,paths,uid,euid,auid,pid,ppid,tty,ses
-1.329438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,execve,download_tool,wget,wget -q -O downloads/sample_5_4107.txt https://example.com,wget -q -O downloads/sample_5_4107.txt https://example.com,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300353.856,25415,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,/usr/bin/wget,/usr/bin/wget|/lib64/ld-linux-x86-64.so.2,1000,1000,1000,20528,15400,(none),25
-1.327438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,openat,home_activity,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300353.858,25416,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,3,/usr/bin/wget,downloads/,downloads/|downloads/sample_5_4107.txt,1000,1000,1000,20528,15400,(none),25
-1.313438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300353.872,25417,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/bin/wget,/var/run/nscd/socket,/var/run/nscd/socket,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300353.873,25418,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/bin/wget,/var/run/nscd/socket,/var/run/nscd/socket,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25419,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25420,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25421,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25422,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25423,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-101,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25424,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25425,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-101,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.312438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,wget,,wget -q -O downloads/sample_5_4107.txt https://example.com,,benign,,1778300353.873,25426,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/wget,,,1000,1000,1000,20528,15400,(none),25
-1.210438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,execve,exec,sleep,sleep 2,sleep 2,/home/analyst/baseline_workload/run_20260509_041538,benign,,1778300353.975,25427,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/bin/sleep,/usr/bin/sleep,/usr/bin/sleep|/lib64/ld-linux-x86-64.so.2,1000,1000,1000,20529,15400,(none),25
-0.970438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,execve,exec,sshd,/usr/sbin/sshd -D -R,/usr/sbin/sshd -D -R,/,benign,,1778300354.215,25428,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,/usr/sbin/sshd,/usr/sbin/sshd|/lib64/ld-linux-x86-64.so.2,0,0,4294967295,20530,9653,(none),4294967295
-0.967438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300354.218,25429,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,20530,9653,(none),4294967295
-0.967438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.218,25430,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.967438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.218,25431,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.967438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.218,25432,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.967438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300354.218,25433,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,20530,9653,(none),4294967295
-0.967438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300354.218,25434,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,20530,9653,(none),4294967295
-0.963438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300354.222,25435,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20531,20530,(none),4294967295
-0.963438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300354.222,25436,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,109,109,4294967295,20531,20530,(none),4294967295
-0.963438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300354.222,25437,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-1,/usr/sbin/sshd,,,109,109,4294967295,20531,20530,(none),4294967295
-0.963438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300354.222,25438,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-1,/usr/sbin/sshd,,,109,109,4294967295,20531,20530,(none),4294967295
-0.963438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300354.222,25439,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-1,/usr/sbin/sshd,,,109,109,4294967295,20531,20530,(none),4294967295
-0.963438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresuid,privilege_transition,sshd,,sshd: [accepted],,benign,,1778300354.222,25440,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-1,/usr/sbin/sshd,,,109,109,4294967295,20531,20530,(none),4294967295
-0.862438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300354.323,25441,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,20530,9653,(none),4294967295
-0.862438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300354.323,25442,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,no,-2,/usr/sbin/sshd,/var/run/nscd/socket,/var/run/nscd/socket,0,0,4294967295,20530,9653,(none),4294967295
-0.862438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,connect,network_connect,sshd,,/usr/sbin/sshd -D -R,/,benign,,1778300354.323,25443,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,/run/systemd/userdb/io.systemd.DynamicUser,/run/systemd/userdb/io.systemd.DynamicUser,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25444,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25445,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25446,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25447,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25448,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25449,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,1001,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresuid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25450,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.324,25451,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
-0.861438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,,,,,,,benign,,1778300354.324,25452,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,,,,,,,,,,,,
-0.853438,persistence_auth/authorized_keys_global,bind_shell/bash_auto,setresgid,privilege_transition,sshd,,/usr/sbin/sshd -D -R,,benign,,1778300354.332,25453,pre_context,20260508_211915_authorized_keys_global_dfUxF3,20260508_211915_bind_global_authorized_keys_r8aNXj,persistence_auth,yes,0,/usr/sbin/sshd,,,0,0,4294967295,20530,9653,(none),4294967295
